,yTestTrue,VGG16_0,VGG16_1,VGG16_2,VGG16_3,ResNet50_0,ResNet50_1,ResNet50_2,ResNet50_3,InceptionV3_0,InceptionV3_1,InceptionV3_2,InceptionV3_3,Xception_0,Xception_1,Xception_2,Xception_3
CNV-1016042-1,2,2.466894e-08,0.0008876298,0.9990833,2.9064333e-05,1.6442533e-05,0.0020192196,0.985889,0.012075326,1.49524885e-05,0.00531766,0.95930356,0.03536386,1.0655088e-05,0.052658707,0.9466675,0.00066309026
CNV-1016042-2,2,1.511016e-07,0.0013859943,0.9981415,0.0004723615,0.480515,0.052581098,0.1845154,0.28238848,0.01604007,0.00013200543,0.6695231,0.31430474,0.00054532266,5.215053e-05,0.8445765,0.1548261
CNV-1016042-3,2,1.3385481e-08,0.0008571199,0.9990048,0.00013818328,3.476984e-09,1.737819e-08,0.9999807,1.9254781e-05,0.00035491388,0.0006891716,0.8332169,0.16573897,3.5503358e-06,2.5152242e-05,0.9948826,0.005088758
CNV-1016042-4,2,7.8638585e-08,0.0024774577,0.99678063,0.0007418352,5.406207e-08,0.00040373096,0.999577,1.9135055e-05,3.9383413e-05,0.014069595,0.82829845,0.15759262,0.00016692918,0.0015383057,0.9970432,0.0012515809
CNV-103044-1,2,2.1890012e-06,0.0023941125,0.9933155,0.004288224,5.013298e-07,0.00010924329,0.9993782,0.00051205745,0.00015585692,0.0020059957,0.98795843,0.00987964,9.487508e-06,5.548787e-07,0.9999275,6.245897e-05
CNV-103044-10,2,0.32562974,0.45979524,0.18732437,0.027250689,0.00032250196,0.44165632,0.5407223,0.017298913,0.00024785107,0.72389513,0.26602367,0.0098333545,0.00034479497,0.06411819,0.9352932,0.00024379819
CNV-103044-11,2,1.1924922e-06,0.04062457,0.9583444,0.0010298309,7.2681374e-08,0.0059898673,0.9812428,0.012767267,3.077966e-06,0.0017708158,0.99725693,0.00096919405,7.6092816e-05,2.9115788e-05,0.9995529,0.00034182012
CNV-103044-12,2,1.3387862e-09,0.0003300605,0.99966896,9.180102e-07,5.096808e-07,0.0030584687,0.9969175,2.3471392e-05,2.0597952e-05,0.0010360519,0.9988244,0.00011890133,2.7940134e-06,2.6349478e-06,0.9999839,1.0588392e-05
CNV-103044-2,2,6.5516e-07,0.011662513,0.98475176,0.00358506,3.982035e-08,8.770251e-05,0.9998543,5.7985948e-05,2.5376517e-06,0.0016169185,0.9979842,0.00039635046,8.3943974e-07,2.7220321e-06,0.9999913,5.182844e-06
CNV-103044-3,2,5.5942184e-07,0.88858014,0.11141546,3.8943795e-06,2.4128012e-06,0.6739579,0.32543582,0.0006038522,5.9387658e-05,0.028275046,0.9684721,0.0031934977,3.087426e-05,0.0010328606,0.9985019,0.00043433288
CNV-103044-4,2,5.3324833e-08,0.00014284674,0.99967265,0.0001845066,1.989851e-07,4.946893e-05,0.9981894,0.0017610235,2.2947313e-06,4.956532e-05,0.99985015,9.7995966e-05,1.6069632e-06,1.1638982e-07,0.99999356,4.7673498e-06
CNV-103044-5,2,2.1995218e-08,0.61516494,0.38483447,5.349555e-07,4.1317026e-06,0.32038206,0.6792614,0.0003523876,2.6323914e-05,0.020246604,0.9647088,0.01501826,1.4134584e-05,0.9887639,0.01107136,0.00015055266
CNV-103044-6,2,4.8111435e-09,0.002870138,0.99712914,6.551478e-07,1.7383389e-05,0.3452143,0.65467227,9.59833e-05,1.832323e-05,0.07417693,0.92494947,0.0008553188,8.802673e-06,0.016518416,0.98346436,8.4526855e-06
CNV-103044-7,2,2.05463e-07,0.007248068,0.99274313,8.589217e-06,8.7531885e-07,0.48517624,0.5001178,0.014705152,8.783871e-06,0.00015100397,0.9997788,6.134485e-05,1.8331217e-05,0.01204954,0.98792654,5.500304e-06
CNV-103044-8,2,1.1545435e-05,0.47368124,0.5135273,0.012779977,6.2989716e-07,0.34418106,0.64950883,0.0063095177,5.7344336e-05,0.009854377,0.98825455,0.0018336725,1.6934772e-08,6.282336e-06,0.99999356,1.5308785e-07
CNV-103044-9,2,1.7322103e-08,0.0042289197,0.995771,1.807681e-08,1.6821683e-05,0.0026895683,0.9968483,0.00044524556,0.0001501147,0.015594261,0.98371243,0.0005432003,4.837886e-06,2.3035976e-05,0.9999714,6.7866875e-07
CNV-1083927-1,2,7.655099e-07,0.00023092472,0.9997073,6.106649e-05,4.432881e-05,0.0005930648,0.9989825,0.0003801741,0.003708463,0.02132133,0.97493196,3.8275084e-05,0.00017627105,0.00017189077,0.9996264,2.5391488e-05
CNV-1112835-1,2,5.117386e-09,2.5070118e-05,0.9999733,1.7090362e-06,5.1032497e-05,0.033231433,0.9666911,2.6350699e-05,0.00072648306,0.0053112996,0.99223316,0.0017290344,9.830124e-05,9.027867e-05,0.9997887,2.2790286e-05
CNV-1112835-2,2,8.381087e-09,0.00020201667,0.99979204,5.904459e-06,3.364559e-06,0.0033683176,0.99654347,8.482157e-05,0.00016029734,0.00264679,0.9940084,0.0031845935,0.00012770861,0.0005662649,0.9992859,2.0098369e-05
CNV-1130960-1,2,2.2366284e-09,0.0008351883,0.9991617,3.0939464e-06,8.394875e-06,0.10339615,0.89634216,0.0002533415,0.01557529,0.3042187,0.6663679,0.013838155,3.8590653e-05,0.00323217,0.99557424,0.0011549765
CNV-1131664-1,2,9.659271e-10,0.00018391231,0.9997806,3.5534224e-05,3.7339956e-07,0.0003655528,0.99943024,0.00020390902,8.354919e-05,0.011341688,0.98588866,0.002686088,1.6165804e-05,8.1076805e-06,0.9999651,1.0622752e-05
CNV-1136126-1,2,8.034133e-06,0.0005163088,0.9988707,0.0006049646,5.4722917e-05,3.5790315e-05,0.98589325,0.014016277,0.0026645642,0.20958921,0.7459256,0.041820522,2.417644e-06,2.3135557e-07,0.9990308,0.0009665136
CNV-1177084-1,2,0.0002101974,2.6381977e-05,0.0007785345,0.9989849,1.5682557e-05,2.0242738e-05,0.995805,0.004158927,5.7037687e-05,0.00038281147,0.006326566,0.9932335,0.00052190846,3.4876783e-05,0.55732095,0.44212222
CNV-1188386-1,2,3.7667657e-11,6.701278e-05,0.99993217,8.2236085e-07,2.388031e-05,2.109827e-05,0.9999026,5.2492043e-05,0.011640611,0.018620806,0.90327,0.066468574,0.00066925434,0.00016480229,0.99909997,6.594207e-05
CNV-1188386-2,2,8.9344904e-10,4.846424e-06,0.9999447,5.047148e-05,1.3216659e-08,2.6073133e-06,0.99961555,0.0003818249,0.002918349,0.00092070457,0.9587798,0.037381146,0.0001110235,0.00016355467,0.99942374,0.00030166164
