,yTrue,yPredProb_0,yPredProb_1,yPredProb_2,yPredProb_3,yPredProb_4,yPredProb_5,yPredProb_6,yPredProb_7,yPredProb_8,yPredProb_9
0,0,0.2776353,0.2020419,0.45242798,0.30188653,0.13138331,0.293147,0.20959032,0.5652141,0.6071253,0.26219493
1,1,0.4771248,0.8194248,0.18823417,0.37024152,0.41297686,0.52178574,0.5578634,0.7422318,0.5463458,0.27869156
2,1,0.5842335,0.7505135,0.2858666,0.51783776,0.6655891,0.48705763,0.7405735,0.7083327,0.5788806,0.39774793
3,0,0.8043269,0.17519116,0.31416097,0.48312968,0.8162067,0.5313636,0.68573546,0.748822,0.51715016,0.60353446
4,0,0.51477927,0.7152138,0.30232117,0.32479867,0.5006827,0.3452773,0.58299804,0.8120673,0.23092292,0.47766605
5,1,0.6441625,0.5867119,0.33187622,0.6737262,0.5521036,0.38066816,0.5313038,0.63131523,0.6608518,0.6783016
6,1,0.7913516,0.9840117,0.7274821,0.55937064,0.71550626,0.61312234,0.8212255,0.8960556,0.8662195,0.6156322
7,0,0.41409764,0.7981697,0.44347978,0.52226317,0.53601724,0.4247697,0.5680207,0.75046104,0.55082154,0.43642747
8,0,0.2494644,0.09121691,0.07146415,0.2096217,0.09147015,0.12700328,0.2738245,0.77566576,0.1672563,0.36070776
9,0,0.29040742,0.23369259,0.13013211,0.40824497,0.099094085,0.33005416,0.46852246,0.44485307,0.45180443,0.35466242
10,1,0.6006181,0.7854798,0.38314253,0.49000856,0.31699553,0.5014604,0.5078603,0.82090396,0.43215707,0.5862324
11,0,0.37506378,0.1608664,0.06542138,0.4293578,0.2746664,0.40682936,0.43879312,0.38676435,0.38772643,0.46833465
12,1,0.4147235,0.66791195,0.29564247,0.4444021,0.61414725,0.47327793,0.73635566,0.60325795,0.5774235,0.3520226
13,0,0.7342622,0.8749945,0.31359607,0.5232558,0.694391,0.6112043,0.70457894,0.8950048,0.3380853,0.5350001
14,0,0.5706359,0.6859544,0.31799644,0.43928322,0.6723947,0.38397568,0.59718996,0.79954696,0.86541694,0.60230076
15,0,0.56498474,0.3169682,0.1428479,0.4135749,0.22033726,0.36113447,0.4975525,0.72852343,0.7587076,0.46377504
16,0,0.5380712,0.12965295,0.24824862,0.31319866,0.63471305,0.35132372,0.47329167,0.46098378,0.74219555,0.5496688
17,0,0.60236484,0.82691085,0.23862073,0.56549126,0.55438125,0.3735608,0.53941685,0.717571,0.6995122,0.4638913
18,1,0.6243613,0.8538821,0.22327843,0.6540704,0.8469911,0.58984256,0.58773035,0.68197316,0.6069129,0.600857
19,1,0.3055434,0.47500545,0.2704726,0.34615985,0.2609225,0.16066164,0.45739135,0.6238341,0.451505,0.41312358
20,1,0.6809573,0.9615325,0.5716523,0.34971303,0.6834747,0.456459,0.50403905,0.84937525,0.6414474,0.544098
21,0,0.12168217,0.025734298,0.16138911,0.101826146,0.080535434,0.29261738,0.23875989,0.38322043,0.37258187,0.3565229
22,1,0.49097472,0.5724644,0.23373239,0.4583754,0.32338572,0.4586329,0.56122357,0.75118494,0.45884767,0.5903787
23,0,0.66854286,0.7156307,0.16059855,0.63368034,0.4790816,0.5085066,0.68378234,0.6765561,0.59658045,0.60662484
24,0,0.7627352,0.72026527,0.33641854,0.5920346,0.610376,0.4813639,0.6279142,0.6946474,0.4577782,0.72498906
25,0,0.5898375,0.23371617,0.16272223,0.3178016,0.20461084,0.29581738,0.5170285,0.67916286,0.58558726,0.3551719
26,1,0.90189815,0.87069076,0.3591232,0.294598,0.64592874,0.5616402,0.60993093,0.74727994,0.60478723,0.43890437
27,1,0.34327227,0.72608745,0.35102776,0.37991077,0.50163645,0.20441131,0.5369251,0.6946131,0.61236155,0.43335694
28,0,0.17920339,0.043207366,0.032206014,0.33144122,0.16932207,0.14600332,0.24136777,0.7707682,0.5050038,0.437599
29,0,0.11437579,0.1772875,0.1578966,0.18650816,0.13274652,0.24016184,0.33467802,0.50026405,0.61628294,0.4610926
30,0,0.8291168,0.9535365,0.30477172,0.23556443,0.72604996,0.5087782,0.7877315,0.8721723,0.53922707,0.53330857
31,1,0.7812289,0.7264211,0.26114494,0.6120941,0.6557853,0.45525566,0.66706055,0.7385614,0.26539838,0.5931765
32,0,0.1856342,0.24184209,0.0687972,0.28578883,0.19057456,0.20039614,0.293804,0.3004806,0.29983947,0.3046748
33,0,0.20260143,0.115618445,0.1791191,0.25930324,0.095154256,0.2473537,0.2985655,0.54030037,0.3475107,0.33590144
34,0,0.46633676,0.4387759,0.31891024,0.62758964,0.44400296,0.34084442,0.45172185,0.75668824,0.7021418,0.36430997
35,1,0.60951024,0.66762906,0.2583836,0.7623228,0.41399825,0.6923945,0.51627964,0.7459241,0.19902736,0.2581241
36,1,0.2647144,0.37378132,0.14093602,0.3075498,0.2716531,0.22289582,0.38594493,0.5734482,0.43009323,0.33052963
37,0,0.49849325,0.65442264,0.48320156,0.44273978,0.40581074,0.38991416,0.76409405,0.8120836,0.5826199,0.6077142
38,1,0.3679309,0.34055454,0.28032488,0.64421886,0.5677508,0.36620718,0.4261967,0.59048647,0.5390351,0.5806974
39,0,0.6277969,0.7768397,0.22771126,0.45231718,0.66626155,0.44254938,0.54712874,0.5499763,0.60172844,0.5005905
40,0,0.74009323,0.9113337,0.5003013,0.43311825,0.33123255,0.49434593,0.8096062,0.81890416,0.42863855,0.5567595
41,1,0.46191663,0.6638459,0.38841927,0.46803677,0.38266242,0.40515348,0.48193425,0.7099817,0.40230453,0.4662811
42,0,0.7100332,0.49145412,0.22469997,0.614317,0.5081286,0.3875665,0.7462794,0.69236636,0.3681433,0.5268926
43,0,0.7611819,0.7401984,0.467665,0.46472758,0.77003026,0.45484424,0.5904698,0.872409,0.6336497,0.5169451
44,1,0.8803511,0.66023517,0.12643436,0.30105078,0.40178594,0.51952887,0.41585648,0.5945897,0.63276076,0.33320504
45,1,0.6225536,0.24504793,0.08207363,0.29061332,0.35864294,0.406976,0.41851544,0.4628385,0.53224975,0.38290876
46,0,0.22423689,0.22114417,0.18456918,0.18404551,0.25467116,0.21194157,0.44249597,0.644179,0.46514317,0.2737234
47,1,0.26510695,0.8061751,0.71694595,0.28460532,0.77475196,0.35542,0.40017253,0.71966255,0.55692846,0.3522983
48,0,0.5569716,0.72375,0.36583048,0.47773397,0.44256967,0.43902406,0.5615357,0.7146094,0.47851926,0.510131
49,0,0.40261912,0.4525407,0.20824555,0.636869,0.47300157,0.42039448,0.5811404,0.69726807,0.55850947,0.5560748
50,1,0.7686322,0.8308975,0.21585283,0.6587132,0.63749427,0.698027,0.6509293,0.85707444,0.6559504,0.5291432
51,0,0.33497873,0.24362278,0.19925219,0.29297262,0.21987075,0.34575194,0.20239955,0.6643859,0.39938208,0.48647112
52,1,0.7073228,0.8621023,0.31013674,0.54235095,0.788574,0.6560532,0.60602754,0.6341113,0.47522527,0.63063943
53,1,0.7121481,0.9471587,0.42971966,0.6820823,0.8355545,0.46517748,0.63214,0.70935285,0.43571693,0.503304
54,1,0.43856275,0.7387308,0.22786313,0.7083976,0.40286118,0.40008926,0.5524318,0.6613076,0.3365311,0.5738852
55,0,0.19619542,0.09379043,0.103462525,0.1020804,0.10945161,0.14236192,0.24830426,0.48142624,0.33909705,0.46208578
56,0,0.30787984,0.14556187,0.18069905,0.28500214,0.23501159,0.29592636,0.48825878,0.60401636,0.46257463,0.48283726
57,0,0.2717649,0.2991277,0.2693494,0.29163367,0.107897796,0.27007484,0.5109672,0.58998114,0.30883074,0.5183564
58,0,0.3716282,0.34883624,0.41452187,0.5409234,0.5230716,0.27548757,0.45415312,0.7577589,0.5459126,0.33995986
59,0,0.64012426,0.84123665,0.34468463,0.46561226,0.37090626,0.39342082,0.72217274,0.79356486,0.4465145,0.5374779
60,1,0.31940424,0.30792117,0.04219313,0.35020435,0.51061726,0.28986952,0.33766922,0.7697292,0.640966,0.58143866
61,1,0.6113935,0.6049274,0.2960879,0.5553018,0.38432986,0.40848875,0.27989984,0.6461973,0.42340517,0.5327183
62,1,0.4049494,0.8229929,0.28242382,0.514059,0.094334945,0.33111677,0.436664,0.7065673,0.34442824,0.69947314
63,0,0.24071753,0.59167314,0.15960658,0.37144643,0.30139166,0.45942432,0.41421786,0.6698507,0.46263304,0.47325695
