,yTrue,yPredProb_0,yPredProb_1,yPredProb_2,yPredProb_3,yPredProb_4,yPredProb_5,yPredProb_6,yPredProb_7,yPredProb_8,yPredProb_9
0,0,0.66303253,0.26803166,0.4717847,0.3400958,0.5786005,0.36557487,0.4736451,0.40514258,0.53622556,0.4093108
1,1,0.77302843,0.27164054,0.5581414,0.444346,0.9087208,0.4275768,0.52616596,0.4623155,0.6167487,0.49810043
2,1,0.58379847,0.24997792,0.38303047,0.40642372,0.6058554,0.5029873,0.25805575,0.41484937,0.5194172,0.44952485
3,0,0.74935055,0.29702273,0.41186744,0.50802046,0.7430378,0.555172,0.44662738,0.44711363,0.66522527,0.45373192
4,0,0.71565115,0.25825083,0.41569868,0.41161448,0.70458674,0.43816048,0.4198882,0.420976,0.61345804,0.47518194
5,1,0.6243167,0.2753325,0.38922638,0.5272532,0.83864284,0.5960978,0.50904226,0.46119565,0.6803924,0.487099
6,1,0.6275022,0.29562703,0.4481963,0.51082283,0.8007952,0.6560591,0.40661475,0.45583963,0.7521013,0.47374225
7,0,0.7096603,0.22902122,0.3580588,0.47068667,0.5456607,0.4625834,0.30502844,0.41393322,0.6828235,0.442599
8,0,0.64525646,0.223346,0.5077889,0.3827656,0.46521673,0.43844032,0.29963052,0.4939865,0.4401862,0.3886184
9,0,0.7615628,0.24228165,0.4999835,0.41255057,0.70180297,0.4259535,0.334412,0.39837193,0.6599017,0.5193828
10,1,0.47758782,0.23675425,0.40322816,0.4955786,0.29693738,0.49826905,0.22292088,0.32677242,0.47009915,0.47113898
11,0,0.6866445,0.2789259,0.4894126,0.42847714,0.6989337,0.47630954,0.38956693,0.3865021,0.60011387,0.40700272
12,1,0.7646328,0.25764364,0.5653655,0.34778073,0.75045717,0.39220327,0.43954426,0.39032632,0.5052449,0.48588687
13,0,0.65353525,0.30366686,0.3132899,0.52574676,0.5001017,0.5394801,0.4464432,0.42187256,0.6684563,0.47898608
14,0,0.72069055,0.25971386,0.45359576,0.3602581,0.67980313,0.4117862,0.3617726,0.4375025,0.55769265,0.4169592
15,0,0.7435865,0.24127108,0.44435176,0.40686876,0.55275905,0.45970166,0.26951724,0.42052096,0.5730043,0.45352626
16,0,0.7592561,0.27204397,0.54016435,0.363968,0.768798,0.43157744,0.425352,0.50838125,0.5541697,0.43711138
17,0,0.780753,0.33359626,0.5074828,0.492841,0.7735952,0.48167884,0.5697508,0.43819508,0.6527887,0.4893164
