,yTrue,yPredProb_0,yPredProb_1,yPredProb_2,yPredProb_3,yPredProb_4,yPredProb_5,yPredProb_6,yPredProb_7,yPredProb_8,yPredProb_9
0,0,0.02723306,0.04186004,0.18983147,0.030727644,0.08293252,0.12074595,0.029165061,0.0860453,0.02331146,0.08181714
1,1,0.99764174,0.9946533,0.9978413,0.9976893,0.99736,0.9883205,0.997596,0.99756753,0.99815094,0.9978777
2,1,0.9606086,0.9533543,0.9291551,0.99163884,0.9183167,0.9142164,0.8859364,0.9520653,0.95168066,0.98662627
3,0,0.0069602896,0.018127847,0.014106948,0.032062124,0.0284962,0.047018588,0.010998787,0.02849103,0.05503764,0.013268281
4,0,0.16917826,0.09444401,0.07974788,0.31278294,0.10196274,0.06667586,0.11037076,0.39323992,0.041366365,0.17767873
5,1,0.99817747,0.99642044,0.9991164,0.9943984,0.99231863,0.99518526,0.998782,0.98660535,0.9990027,0.99910396
6,1,0.769302,0.81917155,0.95004463,0.59581494,0.90532124,0.8838106,0.68992305,0.4224832,0.96332085,0.50230855
7,0,0.5582894,0.3904584,0.13225785,0.24200141,0.1311168,0.26241815,0.30554032,0.3093743,0.060601816,0.031092139
8,0,0.37004158,0.18209727,0.21300638,0.3184661,0.120954916,0.040528823,0.14196075,0.08881185,0.15019469,0.19912754
9,0,0.0064839097,0.024259903,0.0031053824,0.0060768705,0.004079357,0.0033803356,0.017167563,0.0018028921,0.0064061517,0.019359037
10,1,0.9988963,0.99854136,0.9915735,0.9993717,0.98843163,0.9988939,0.99927163,0.9972091,0.99920017,0.999899
11,0,0.08178264,0.03448153,0.022404643,0.060675073,0.07814842,0.0219291,0.0066011935,0.06367977,0.052056663,0.040630486
12,1,0.9340397,0.8322982,0.8701133,0.9646041,0.62302905,0.94410306,0.9440071,0.8355048,0.86168313,0.86688733
13,0,0.3201109,0.26577806,0.42755944,0.302299,0.33490205,0.5346793,0.1393218,0.5473382,0.80308646,0.8006392
14,0,0.2590472,0.096665405,0.24556248,0.16486356,0.061327208,0.1240626,0.047029175,0.07356078,0.062677436,0.12801635
15,0,0.115654826,0.07410084,0.01844445,0.22408229,0.061184388,0.043509442,0.06817093,0.036211357,0.08276647,0.07790448
16,0,0.23786771,0.050280605,0.062640645,0.12738228,0.31460473,0.12594844,0.05449427,0.26832947,0.19972362,0.20340714
17,0,0.18200025,0.11149144,0.29695383,0.16448954,0.21438777,0.2027114,0.051396422,0.17473397,0.13766178,0.2479851
18,1,0.99343807,0.9956323,0.9963093,0.9992707,0.9965949,0.99875873,0.99916327,0.994998,0.9986461,0.99877673
19,1,0.8680836,0.7074474,0.40738648,0.7363732,0.72591305,0.6597475,0.47142386,0.90864843,0.7933271,0.83681834
20,1,0.99958134,0.99950814,0.9979213,0.9980816,0.9973317,0.99924916,0.99980074,0.99788517,0.99910915,0.9992239
21,0,0.011001011,0.0032070202,0.0032938346,0.0073930216,0.015862048,0.008123093,0.0063323164,0.003960132,0.00676293,0.015075919
22,1,0.97416764,0.9507473,0.9680019,0.98061895,0.95112383,0.888205,0.93451476,0.9725208,0.8966915,0.9875724
23,0,0.49844944,0.13957639,0.22477254,0.3546536,0.43309748,0.33087292,0.27963495,0.30999687,0.5725535,0.5784566
24,0,0.36686027,0.17596492,0.2482082,0.2259629,0.19248933,0.13066375,0.27704352,0.1965018,0.6594871,0.19721892
25,0,0.10519037,0.36521032,0.08981199,0.2599725,0.18456918,0.39653507,0.15718712,0.29511628,0.29342857,0.14678602
26,1,0.99383986,0.99981016,0.99646586,0.9997149,0.9993977,0.9977795,0.9994725,0.9952607,0.9982041,0.99996626
27,1,0.9177729,0.97097176,0.9877004,0.93735653,0.96621424,0.90541434,0.94826245,0.9201582,0.9037121,0.9705833
28,0,0.08045093,0.05278577,0.053678527,0.03603599,0.04566982,0.05288945,0.13421954,0.05410843,0.11505178,0.092126906
29,0,0.012306184,0.0045537204,0.043511953,0.006804366,0.01620719,0.013639907,0.00293309,0.0078463,0.005268668,0.01107784
30,0,0.124712706,0.03194348,0.016713634,0.065742165,0.02943308,0.026676072,0.10626955,0.08559869,0.07228466,0.0500146
31,1,0.95359904,0.62325704,0.9801598,0.96801734,0.9768845,0.8862302,0.9312806,0.9248798,0.98921186,0.9784462
32,0,0.067487076,0.17734286,0.15054037,0.41846722,0.10492818,0.22747292,0.2021482,0.15485948,0.20993155,0.054509204
33,0,0.061483394,0.024003955,0.05699208,0.008526414,0.027148105,0.05809764,0.053575426,0.05589307,0.05472145,0.036399093
34,0,0.2206119,0.17219424,0.34374386,0.22358015,0.48770213,0.15334222,0.20128477,0.33094567,0.24085276,0.2563672
35,1,0.99737644,0.992503,0.984365,0.99639636,0.9636396,0.9659239,0.9568465,0.99519527,0.9750286,0.9987905
36,1,0.5483903,0.4864558,0.49835384,0.3013476,0.4933087,0.45645618,0.5570955,0.4941314,0.5931889,0.4825174
37,0,0.28834537,0.557749,0.13079995,0.62124085,0.3033324,0.2512365,0.36162096,0.49120447,0.29683304,0.23133373
38,1,0.99864805,0.9982787,0.9990779,0.998914,0.9906028,0.9941991,0.9978795,0.992841,0.9972333,0.9977686
39,0,0.8641723,0.74207014,0.72242975,0.6540954,0.6137571,0.3313431,0.86990136,0.6689529,0.3718605,0.48733693
40,0,0.33594623,0.6994574,0.084804334,0.06300546,0.12411079,0.46097594,0.38178214,0.14354363,0.013093627,0.1644457
41,1,0.9774245,0.9860242,0.99947035,0.9784933,0.9976632,0.9877334,0.9963777,0.9961892,0.9752747,0.9840483
42,0,0.06327453,0.05387929,0.038481213,0.033171695,0.01250285,0.09737769,0.024643337,0.06530194,0.014981608,0.04203352
43,0,0.36248377,0.10055814,0.07744387,0.17910603,0.129299,0.03302966,0.3641814,0.31902167,0.06138973,0.07726901
44,1,0.9847479,0.99830616,0.99574476,0.99839085,0.991056,0.994465,0.9996674,0.9744208,0.9959628,0.9978519
45,1,0.6192832,0.36438227,0.76015455,0.3965369,0.31943077,0.5525533,0.8426396,0.43932936,0.33575353,0.25776896
46,0,0.0038771078,0.0027689957,0.0018744109,0.0012117563,0.0008905999,0.0023017528,0.0013051758,0.002443193,0.0018786985,0.0026844959
47,1,0.9297659,0.9352815,0.8845556,0.7743525,0.89172983,0.7525041,0.9242761,0.8382822,0.9063251,0.7834118
48,0,0.9004215,0.48793903,0.5432561,0.6520972,0.38580304,0.41291827,0.79692745,0.74710375,0.1051222,0.15534313
49,0,0.5328884,0.25617886,0.4478737,0.7428871,0.28584823,0.31102976,0.45982814,0.32121706,0.3813249,0.63658124
50,1,0.99929714,0.99816304,0.99961686,0.9999671,0.9990902,0.9981445,0.99968165,0.99983275,0.99775356,0.9999976
51,0,0.07262481,0.024275342,0.033112902,0.02754507,0.034128625,0.011296113,0.023999274,0.01092468,0.018212551,0.012268467
52,1,0.9912909,0.97947323,0.9933361,0.97951686,0.9931786,0.93692803,0.97523963,0.9916258,0.95979244,0.99504334
53,1,0.9900011,0.9447142,0.99988264,0.9988246,0.9996688,0.99631584,0.9987745,0.9995636,0.999413,0.99980485
54,1,0.9631479,0.9321341,0.89645237,0.9553542,0.93676275,0.9184564,0.9719818,0.91421217,0.98559356,0.97553825
55,0,0.22228582,0.09719638,0.15513277,0.036158603,0.05730594,0.07373345,0.1095495,0.067832805,0.09087595,0.08032132
56,0,0.010919031,0.09788284,0.005831799,0.010462285,0.0071739857,0.019623335,0.016940642,0.004857077,0.02524359,0.02884727
57,0,0.712738,0.3107728,0.43396562,0.3492916,0.24283475,0.14741881,0.4574352,0.45889017,0.29847807,0.64150065
58,0,0.2429616,0.09023238,0.05696065,0.19873212,0.13008311,0.07751269,0.1661708,0.05538905,0.057590097,0.025986973
59,0,0.43902877,0.24149764,0.037028477,0.41992426,0.11154991,0.24339533,0.16181228,0.47447056,0.16107415,0.23379351
60,1,0.99839664,0.99940044,0.9967564,0.9982947,0.99868643,0.9990143,0.9983442,0.9994358,0.999689,0.9992993
61,1,0.9958684,0.9813715,0.9858106,0.9985566,0.9689809,0.96979326,0.99846816,0.9857969,0.9585798,0.99737203
62,1,0.9888349,0.98517,0.9804396,0.97577465,0.9794403,0.93592197,0.9953406,0.97783625,0.92554027,0.995581
63,0,0.031399913,0.05551316,0.037570372,0.048114218,0.024513774,0.10192381,0.011014619,0.03477819,0.040143896,0.028907035
64,1,0.036095437,0.03453811,0.050010577,0.020255221,0.021200763,0.03897107,0.054162405,0.025193602,0.038623247,0.013567826
65,0,0.009454375,0.009061733,0.010730807,0.006287284,0.018190254,0.009379328,0.014075798,0.007409626,0.022025319,0.0232597
66,1,0.94571877,0.911085,0.8172921,0.8904814,0.7914514,0.82595086,0.78318566,0.9096523,0.81423485,0.92268986
