,yTrue,yPredProb_0,yPredProb_1,yPredProb_2,yPredProb_3,yPredProb_4,yPredProb_5,yPredProb_6,yPredProb_7,yPredProb_8,yPredProb_9
0,0,0.108716354,0.04717723,0.2279501,0.08946002,0.09018318,0.13240062,0.028294032,0.11393482,0.09420891,0.10831455
1,1,0.9882364,0.9875251,0.9926166,0.99207735,0.98880094,0.9894866,0.9928046,0.99551827,0.9900759,0.9898173
2,1,0.93989164,0.94121075,0.9582661,0.9793986,0.9447648,0.94077367,0.89915365,0.9765749,0.9669466,0.98480463
3,0,0.019686937,0.024496468,0.116788976,0.09631409,0.047662906,0.101813674,0.05899322,0.05205967,0.05147989,0.053759977
4,0,0.18207261,0.09507337,0.20127739,0.22062956,0.10980648,0.1453371,0.09413989,0.31399727,0.07158144,0.1532497
5,1,0.98814774,0.9886564,0.9966747,0.9942997,0.9871537,0.99352574,0.99597204,0.9896206,0.99705464,0.99403757
6,1,0.5939101,0.84723794,0.90831846,0.6337191,0.86351174,0.8317143,0.62499917,0.5991923,0.8914589,0.7277269
7,0,0.38068298,0.1975241,0.2660337,0.16759595,0.17854512,0.2609278,0.27104276,0.2532475,0.14607474,0.19225597
8,0,0.16863438,0.09031157,0.15295139,0.15494223,0.058157686,0.04977372,0.08740638,0.09783054,0.10076766,0.19805288
9,0,0.009039704,0.00662212,0.0072300155,0.002652291,0.0062963227,0.0026203273,0.011171878,0.009283212,0.010142475,0.020430258
10,1,0.9907161,0.99402136,0.98362774,0.99555343,0.9785747,0.98249733,0.9955846,0.9962595,0.99653494,0.99898034
11,0,0.03774341,0.011980472,0.051408403,0.048888948,0.06789342,0.012324689,0.025289148,0.033872705,0.06987811,0.055683367
12,1,0.7661025,0.8303302,0.8947431,0.93042475,0.8026097,0.938139,0.8693151,0.8960216,0.8803045,0.8763026
13,0,0.41364166,0.68493164,0.646159,0.5533173,0.60216767,0.60598177,0.4710537,0.632249,0.57910204,0.6975567
14,0,0.1841939,0.08868924,0.20242894,0.19664901,0.067034446,0.16732672,0.086354665,0.19877233,0.07768635,0.19408433
15,0,0.11249387,0.031457502,0.0849739,0.12402525,0.06309172,0.051629685,0.12879288,0.05352029,0.05003549,0.08705157
16,0,0.2855559,0.07198368,0.17955557,0.3029834,0.31013584,0.13134935,0.1676207,0.21685378,0.46061885,0.24402471
17,0,0.09274889,0.09180678,0.29674685,0.18458414,0.1665795,0.14078256,0.060062997,0.20125961,0.085825786,0.18388437
18,1,0.9856017,0.99392724,0.9962549,0.9959651,0.9952904,0.9974333,0.9989981,0.99670607,0.9981515,0.9976195
