,yTrue,yPredProb_0,yPredProb_1,yPredProb_2,yPredProb_3,yPredProb_4,yPredProb_5,yPredProb_6,yPredProb_7,yPredProb_8,yPredProb_9
0,0,0.03257621,0.034183335,0.14880891,0.034863725,0.054819606,0.0806939,0.015778037,0.069815986,0.03814089,0.039861966
1,1,0.9977869,0.9931064,0.99712557,0.9984948,0.99863833,0.99628085,0.99878544,0.99879944,0.99783945,0.996926
2,1,0.9732646,0.96655875,0.9379357,0.99510777,0.9717085,0.9424274,0.9409514,0.9795989,0.9790191,0.9794545
3,0,0.012864605,0.016847948,0.039458625,0.025938723,0.015957752,0.057107687,0.023490462,0.025748916,0.025165793,0.013867477
4,0,0.22478479,0.079396665,0.091315165,0.22861032,0.072414406,0.08156371,0.08650413,0.37690616,0.05703955,0.11808148
5,1,0.99725574,0.99637,0.9974326,0.9987115,0.991384,0.99793607,0.9988483,0.989098,0.99904186,0.99706924
6,1,0.7039222,0.8798739,0.9511549,0.7123011,0.886865,0.8979105,0.6608955,0.42754745,0.9431378,0.55819124
7,0,0.3323722,0.18511626,0.16591668,0.13668337,0.10219027,0.2041281,0.29053503,0.21895397,0.07570633,0.10505058
8,0,0.13451968,0.15701476,0.08409634,0.09895465,0.029070757,0.023957178,0.07348839,0.046986934,0.063967735,0.11084938
9,0,0.004486359,0.015585451,0.0033631583,0.0013016848,0.0019171807,0.0022790588,0.012023332,0.0019836263,0.0063046925,0.0050432924
10,1,0.997109,0.99763685,0.9899111,0.99957776,0.9865323,0.9940991,0.9985556,0.9979572,0.99949044,0.9992366
11,0,0.023054985,0.013165376,0.021682393,0.04435514,0.03361647,0.012456339,0.00931366,0.0145814745,0.05327712,0.03081383
12,1,0.88820654,0.89556074,0.9186166,0.9837651,0.8441909,0.97089803,0.963751,0.9036997,0.935297,0.86896783
13,0,0.32875687,0.39780864,0.48596075,0.38296282,0.2693208,0.5047235,0.22776549,0.5105293,0.5691155,0.55854285
14,0,0.18094455,0.10214516,0.11884773,0.17628354,0.030484656,0.11596672,0.043267433,0.0587166,0.04556407,0.07077353
15,0,0.058064345,0.0314582,0.03973492,0.10379038,0.031536244,0.033446573,0.09284223,0.024163801,0.0275939,0.035528198
16,0,0.15427628,0.03522839,0.04207447,0.11293105,0.10184613,0.096564904,0.047420923,0.07941578,0.25225508,0.12287305
17,0,0.2065286,0.13370311,0.2624776,0.17276235,0.15731017,0.1744797,0.069958605,0.24262688,0.11624866,0.21721968
18,1,0.99608797,0.996388,0.9967929,0.9992125,0.99680597,0.9993313,0.9996655,0.99552256,0.9993998,0.99812865
19,1,0.88983023,0.7777789,0.6622956,0.83940065,0.74684834,0.8024522,0.6066552,0.91412246,0.8192738,0.8704422
20,1,0.9993932,0.99958146,0.99769723,0.99960953,0.99931276,0.99955994,0.99990916,0.99900985,0.9994829,0.99930805
21,0,0.0050403387,0.0015252098,0.0035441867,0.0036208525,0.0038305782,0.005270133,0.0037510833,0.0016563995,0.013164098,0.008163262
22,1,0.9611386,0.8997671,0.9543169,0.9746569,0.97279835,0.90946805,0.90458876,0.9684836,0.9055355,0.9672261
23,0,0.4797538,0.15133186,0.17251274,0.4202339,0.29967374,0.2601849,0.32338825,0.23628086,0.6138962,0.3033177
24,0,0.2479474,0.24004266,0.30299696,0.25311852,0.18571307,0.21257702,0.24496628,0.26534882,0.5535902,0.2445391
25,0,0.13524471,0.23289236,0.16293497,0.2799786,0.11554657,0.41301054,0.29774293,0.2155357,0.22234544,0.11549473
26,1,0.99887943,0.99976456,0.9978522,0.99996394,0.9997536,0.99938816,0.9991469,0.9949222,0.9983158,0.9999576
27,1,0.5916617,0.91830206,0.90792084,0.95339596,0.84262913,0.6841248,0.72580683,0.78365755,0.80491936,0.87453264
28,0,0.047942534,0.07819164,0.05816272,0.032605864,0.022791263,0.04316314,0.09586603,0.028669108,0.07243835,0.04318589
29,0,0.007821417,0.0035985063,0.027264481,0.005799463,0.0024634583,0.013115675,0.0023561248,0.0053247306,0.009224958,0.013263901
30,0,0.1358207,0.073337406,0.036107134,0.087075844,0.056383796,0.0440644,0.09671076,0.07517946,0.08348676,0.10413372
31,1,0.8678897,0.71841675,0.96346873,0.95946956,0.964125,0.8904006,0.88675123,0.9070872,0.9437445,0.9768304
32,0,0.050948948,0.18435344,0.15319303,0.39334804,0.11681639,0.17040619,0.28608048,0.08381949,0.23355597,0.084266104
33,0,0.0258335,0.014299788,0.027890123,0.00373123,0.009356608,0.039918203,0.0235252,0.026693959,0.02277041,0.016208068
34,0,0.109238535,0.11506365,0.30463693,0.10637845,0.43260252,0.12142676,0.09472366,0.18702969,0.17501853,0.15315376
35,1,0.99831146,0.98922396,0.9842432,0.9976418,0.9815147,0.97582275,0.97321486,0.9993981,0.987446,0.9992717
36,1,0.49731132,0.6486434,0.6376922,0.505107,0.48704103,0.395773,0.70068073,0.49074474,0.6083878,0.47249946
37,0,0.32851195,0.47984898,0.20517862,0.5191478,0.34329444,0.30745193,0.36708522,0.4895025,0.3963224,0.4825847
38,1,0.99753743,0.9951042,0.99857503,0.999641,0.9962323,0.9957099,0.99843186,0.99077433,0.99838424,0.9952496
39,0,0.6664606,0.42476895,0.60851043,0.50857407,0.42861012,0.2637005,0.6804171,0.49947736,0.27385524,0.4188335
40,0,0.29659638,0.52360547,0.12875764,0.04037356,0.051074993,0.37620202,0.5048705,0.15360548,0.012501826,0.1337006
41,1,0.9836677,0.9696718,0.9985237,0.9803169,0.99855834,0.9930456,0.99546146,0.9994662,0.9558678,0.9708306
42,0,0.04097363,0.038277395,0.026412753,0.021613348,0.0054817675,0.08802633,0.037175316,0.027988495,0.017468493,0.055242937
43,0,0.29894075,0.08231631,0.11910335,0.118799046,0.0908775,0.062251866,0.32053483,0.22628155,0.13725986,0.2511801
44,1,0.9789922,0.9973106,0.98490244,0.9970664,0.9940297,0.989625,0.9996524,0.9569401,0.9947232,0.9932031
45,1,0.4938057,0.39464146,0.5195514,0.4436189,0.20931998,0.4395301,0.74373585,0.32821643,0.36788735,0.27916878
46,0,0.0016117481,0.0018202639,0.0011365472,0.0007983649,0.00066850375,0.0011431036,0.0009516568,0.0011346854,0.0013932303,0.0013191664
47,1,0.8859833,0.91674125,0.91109,0.7621529,0.95070446,0.81562614,0.8881476,0.8354536,0.8928834,0.77757424
48,0,0.8843887,0.55469614,0.5440666,0.71603155,0.36301643,0.5873562,0.6403743,0.7614209,0.13358676,0.43252796
49,0,0.43855858,0.34955153,0.3883116,0.69729453,0.2921722,0.44179437,0.30784968,0.3571405,0.386868,0.6366276
50,1,0.9994553,0.9972667,0.9995702,0.9999523,0.99810946,0.9983208,0.9989135,0.9997801,0.9939473,0.99996775
51,0,0.042530283,0.013717778,0.015080859,0.027013302,0.013961984,0.0083477,0.019218147,0.00754753,0.010931974,0.0054189833
52,1,0.98105496,0.951603,0.98543,0.9773529,0.99499446,0.95013785,0.94766605,0.9899826,0.9664581,0.98852444
53,1,0.993369,0.9854593,0.9997505,0.99947125,0.999879,0.99857736,0.99900603,0.9998174,0.99885774,0.9996211
54,1,0.98432463,0.97060716,0.9569417,0.9925191,0.97898805,0.9735069,0.9800026,0.97877085,0.9741275,0.9877343
55,0,0.11934735,0.082797065,0.0722657,0.043090336,0.042443562,0.034322854,0.07165512,0.05405728,0.048458725,0.03726389
56,0,0.008329928,0.033375464,0.00608501,0.010205322,0.0028834515,0.006292347,0.010987627,0.005588402,0.014340701,0.019287933
57,0,0.60827965,0.17626001,0.47516757,0.2971328,0.18144287,0.2054245,0.40121117,0.46919554,0.25999042,0.55795467
58,0,0.07858388,0.036623903,0.018663986,0.07133941,0.02250451,0.02907574,0.10839932,0.023202814,0.023376986,0.015802437
59,0,0.49012557,0.47741,0.10788771,0.3453737,0.111104965,0.38605034,0.2759572,0.3672795,0.13604333,0.19318146
60,1,0.9986542,0.9994256,0.9965804,0.9994388,0.9990158,0.999345,0.9994797,0.99976856,0.9997508,0.9987661
61,1,0.99026465,0.97697246,0.99112046,0.99877226,0.97948223,0.97030085,0.9968587,0.99221176,0.987798,0.99709594
62,1,0.9859432,0.9827956,0.98371327,0.96870637,0.9933206,0.9703835,0.99103695,0.9875585,0.9524626,0.9966355
63,0,0.044865236,0.06343128,0.0720976,0.057820976,0.02207841,0.07688186,0.03510178,0.062892914,0.040561143,0.040478487
64,1,0.017256835,0.03258651,0.012624882,0.006758497,0.011205895,0.018792793,0.00847325,0.010807003,0.007887203,0.007938938
65,0,0.0064675277,0.0050116875,0.009586172,0.009259711,0.00828033,0.004482142,0.0067881,0.0058245393,0.016994126,0.009413517
66,1,0.96159214,0.9031546,0.8768118,0.8284916,0.84832025,0.81684625,0.88231295,0.9248857,0.902926,0.92213833
67,1,0.9863054,0.99106586,0.9826221,0.9884914,0.97143024,0.9909828,0.9952369,0.9941494,0.98336184,0.98727274
68,0,0.10409284,0.0617348,0.1712242,0.10096751,0.11174034,0.14792456,0.2557131,0.23255493,0.16712162,0.09456636
69,0,0.075565204,0.08838804,0.12253554,0.12622581,0.058835205,0.27362236,0.19095503,0.14804056,0.12932861,0.095067434
70,0,0.23941828,0.26081017,0.17004323,0.4187739,0.12738091,0.52773696,0.4571094,0.2927552,0.16438638,0.55714643
71,0,0.07577075,0.08589643,0.061197672,0.07055928,0.0333085,0.18949233,0.08809088,0.08775212,0.049631055,0.128076
72,1,0.13646786,0.22691786,0.096069545,0.22858678,0.120469555,0.4218459,0.3787295,0.07193524,0.44820747,0.14361939
73,0,0.02353674,0.01647034,0.00788588,0.010817062,0.006171308,0.012317535,0.021417998,0.0077521196,0.006230258,0.006649861
74,0,0.05589596,0.028236913,0.044012792,0.06887232,0.022722252,0.039825004,0.046743166,0.02314001,0.013837723,0.012901039
75,0,0.010915722,0.01579126,0.031182919,0.003921914,0.0037473072,0.0034892522,0.0034468044,0.0018813072,0.0027495346,0.004076717
76,1,0.9150956,0.9681028,0.9121685,0.98466104,0.97537273,0.9714037,0.96727186,0.87054175,0.95280534,0.96259856
77,1,0.9695203,0.97003484,0.8543297,0.9726125,0.92053616,0.9767052,0.9692359,0.91465837,0.950159,0.9076546
78,0,0.43905747,0.20876873,0.7227946,0.4707608,0.6424643,0.41833782,0.1467236,0.43152547,0.3445922,0.41203815
79,0,0.11176308,0.17819063,0.10930069,0.05682728,0.12130251,0.09056136,0.07863394,0.08013886,0.17177899,0.097453386
80,1,0.99471647,0.97802234,0.9963537,0.9983007,0.9939435,0.963143,0.9862973,0.994759,0.99381053,0.9964417
81,0,0.6143448,0.30247197,0.51737833,0.17019482,0.17321742,0.3744343,0.5261511,0.8022027,0.1846682,0.5705084
82,0,0.0411545,0.03569916,0.02136146,0.037706576,0.0437529,0.040787894,0.042584486,0.0376867,0.16751096,0.039872397
83,0,0.033202134,0.019019531,0.027424835,0.04443069,0.017891133,0.017686427,0.062418405,0.01544336,0.020648966,0.010544961
84,1,0.77560055,0.5967202,0.9636469,0.8481128,0.94036084,0.9650314,0.8473949,0.48661584,0.9943956,0.9720353
85,1,0.9982094,0.9998178,0.99992704,0.9991241,0.99993545,0.99969774,0.99950373,0.9997362,0.9991421,0.9998337
86,1,0.9999628,0.9999791,0.9999677,0.9999939,0.99991655,0.9999945,0.9999963,0.99994457,0.999954,0.9999923
87,1,0.92935324,0.983962,0.9306389,0.9517256,0.97446287,0.9821597,0.99336785,0.98004365,0.96840304,0.97070503
88,0,0.14236765,0.04998704,0.128635,0.14082591,0.031766888,0.054203253,0.05942117,0.040794045,0.12220397,0.07186981
89,1,0.99907434,0.99781996,0.9983759,0.9994915,0.99779296,0.9970052,0.99813753,0.9991115,0.99496746,0.9992581
90,1,0.9313912,0.56421435,0.94841605,0.92029655,0.96080774,0.86022943,0.88782644,0.8545824,0.8643981,0.915331
91,1,0.9996948,0.9990934,0.99928164,0.99992853,0.9961601,0.99941164,0.9999562,0.9995338,0.9995815,0.9994329
92,1,0.9964892,0.9988522,0.9947752,0.9988115,0.98683,0.9931065,0.9985714,0.9957065,0.99914324,0.9982452
93,1,0.9996233,0.9965582,0.99900776,0.99952865,0.9992346,0.99509835,0.9988844,0.9994872,0.9986239,0.99967164
94,0,0.060078405,0.24006447,0.05398946,0.05255287,0.10400341,0.15739363,0.020526463,0.18596768,0.13650231,0.10348775
95,0,0.027305737,0.05471313,0.036564432,0.05030068,0.04358156,0.06458043,0.11292051,0.020052647,0.08924726,0.024865158
96,1,0.9955431,0.99134517,0.98816955,0.9949453,0.9854702,0.9920958,0.99658567,0.9950948,0.99643385,0.9884685
97,1,0.75292844,0.8965002,0.20175079,0.41893178,0.52009755,0.8317701,0.9033303,0.40595675,0.45449024,0.13636746
98,1,0.83072317,0.9474515,0.8372016,0.9524844,0.9663068,0.9404908,0.9852086,0.82387173,0.48429567,0.7896177
99,1,0.979526,0.985244,0.9939505,0.98675084,0.9964193,0.9862973,0.99750376,0.9942579,0.97326034,0.9951953
