,yTrue,yPredProb_0,yPredProb_1,yPredProb_2,yPredProb_3,yPredProb_4,yPredProb_5,yPredProb_6,yPredProb_7,yPredProb_8,yPredProb_9
0,0,0.8928532,0.22596931,0.026139537,0.17597097,0.801922,0.29522288,0.55908126,0.34851998,0.51908386,0.17022751
1,1,0.87531745,0.6103198,0.99385947,0.8286797,0.98845226,0.6775234,0.7206875,0.8590932,0.9571006,0.9224591
2,1,0.86590016,0.44366395,0.40888306,0.66230726,0.9062652,0.3135353,0.46260408,0.64012754,0.6694927,0.32412243
3,0,0.6107085,0.40066352,0.045497075,0.31677902,0.3239264,0.15842327,0.33338296,0.34179038,0.5996482,0.3528735
4,0,0.7286626,0.27657792,0.051165342,0.42711937,0.09645294,0.18573466,0.2578041,0.5099953,0.58882785,0.048906565
5,1,0.94639516,0.7686822,0.95708656,0.46337473,0.9901839,0.4268709,0.779053,0.8072893,0.90589345,0.87462014
6,1,0.81603783,0.7528748,0.77006173,0.38697535,0.9971213,0.45706758,0.86487186,0.85524344,0.981194,0.6171814
7,0,0.41328347,0.34863186,0.1094324,0.43655992,0.09679458,0.16817653,0.39310116,0.42134166,0.69655395,0.27361357
8,0,0.406348,0.5239415,0.049954064,0.5017914,0.16271138,0.4008298,0.63123363,0.47963846,0.32824835,0.5363693
9,0,0.7472894,0.64835274,0.4468089,0.20078382,0.0940558,0.22207212,0.17231646,0.47750732,0.55314946,0.56564134
10,1,0.8915384,0.4768686,0.6414104,0.46302146,0.9835277,0.44664735,0.8870799,0.8765191,0.93034834,0.9924235
11,0,0.18554324,0.051393464,0.0011306696,0.053914126,9.425668e-05,0.09269933,0.023175016,0.2770371,0.17626715,0.05822569
12,1,0.6471403,0.19783461,0.0059071714,0.31011245,0.9217275,0.2698025,0.36851496,0.7485582,0.6846578,0.1471678
13,0,0.40138173,0.4493961,0.2692067,0.5878478,0.9146587,0.19332162,0.6210457,0.3111645,0.8874511,0.85979563
14,0,0.8320254,0.495528,0.30257574,0.3150753,0.73328435,0.31002134,0.39440227,0.6882995,0.5744906,0.25809675
15,0,0.7231507,0.4952795,0.29990122,0.30370203,0.63745975,0.2778399,0.49357212,0.56575793,0.57761675,0.9293262
16,0,0.8055638,0.8225463,0.47516942,0.52708167,0.9558824,0.65184283,0.7545528,0.5900742,0.80750304,0.91913307
17,0,0.53339547,0.51186717,0.1164377,0.5277872,0.3117855,0.30930835,0.40649322,0.4577597,0.5216289,0.08745129
18,1,0.7868747,0.8575511,0.97502124,0.5023622,0.7896395,0.4137143,0.67355376,0.71713305,0.92911375,0.2206829
19,1,0.83034503,0.6518,0.30099842,0.49071705,0.91701007,0.33111256,0.86416924,0.53180796,0.7048024,0.2728632
20,1,0.98588973,0.9571177,0.9828344,0.5106663,0.9995768,0.5782785,0.9233204,0.95476663,0.9710453,0.9383436
21,0,0.23485874,0.16031106,0.0059253396,0.063029125,0.06124746,0.24714233,0.09073848,0.42333245,0.16148753,0.026691439
22,1,0.79799974,0.7096374,0.659124,0.50626385,0.9173329,0.45280164,0.7432622,0.5791748,0.7645582,0.92959416
23,0,0.14549656,0.090448976,0.00058469555,0.06830567,0.0014428472,0.11780852,0.018059736,0.34570384,0.09854162,0.0047598695
24,0,0.37625802,0.38439572,0.21865565,0.32874656,0.29688966,0.3332272,0.3063488,0.40740103,0.73009163,0.21814886
25,0,0.35397217,0.44374156,0.039304443,0.4232456,0.021777922,0.29282096,0.42719942,0.36877543,0.38675743,0.29822612
26,1,0.9366311,0.9030916,0.9694932,0.6835503,0.99882454,0.62845695,0.90328306,0.8303707,0.8533025,0.9882934
27,1,0.9096464,0.9106802,0.97886366,0.7023525,0.9958431,0.530984,0.95176315,0.81970584,0.9866444,0.9890277
28,0,0.27008775,0.13418725,0.041418545,0.1379722,0.035685632,0.22508428,0.09536288,0.28679326,0.12645479,0.08270146
29,0,0.7032875,0.4279564,0.2803167,0.22197999,0.40588132,0.30043432,0.22119442,0.57174927,0.42268884,0.040277846
30,0,0.76290226,0.6731659,0.372585,0.5372614,0.7031262,0.50984573,0.62181425,0.5148896,0.55538297,0.6851606
31,1,0.46877325,0.42812222,0.5305501,0.443141,0.9669083,0.32906944,0.4998025,0.5697982,0.85459405,0.33633572
32,0,0.41405553,0.06639365,0.0038452852,0.1329425,0.030582745,0.17025182,0.12550342,0.45692638,0.32923478,0.05548577
33,0,0.27855274,0.3493639,0.15271968,0.21248282,0.39519724,0.2717983,0.24093759,0.47490332,0.37297642,0.4703027
34,0,0.56581396,0.3955169,0.28618306,0.2637775,0.89137936,0.1306434,0.6825228,0.56578356,0.9453927,0.85864455
35,1,0.7853523,0.36997902,0.25992456,0.7167025,0.9061695,0.24946776,0.27342385,0.6432009,0.4816735,0.38336492
36,1,0.610178,0.11918594,0.19447853,0.23164521,0.34129068,0.2516111,0.1446931,0.7994519,0.5285569,0.09667176
37,0,0.4909432,0.27793786,0.56916475,0.46137953,0.03249748,0.35921794,0.7202813,0.48115343,0.8441759,0.6078411
38,1,0.9048805,0.5933082,0.900242,0.49874878,0.9984186,0.46325505,0.8101726,0.81534505,0.9639597,0.9205604
39,0,0.54083097,0.300461,0.20366956,0.41630638,0.32011855,0.31319976,0.37538555,0.56748015,0.53099096,0.02398289
40,0,0.6313444,0.59515977,0.74930775,0.66924417,0.905252,0.40571392,0.9207677,0.4642399,0.9166536,0.95727396
41,1,0.7322845,0.68837,0.9675318,0.46253163,0.9492313,0.45837727,0.8832288,0.7066833,0.96427196,0.99674547
42,0,0.3584152,0.39914316,0.25746578,0.33407906,0.07051517,0.3673911,0.34919566,0.44744182,0.48039347,0.19897747
43,0,0.40098554,0.33246782,0.27221134,0.449267,0.49231383,0.33015054,0.543505,0.3578449,0.6166243,0.3994978
44,1,0.73132896,0.33570153,0.9694414,0.5701186,0.9998827,0.38870454,0.7415097,0.7878263,0.92717063,0.9337975
45,1,0.72301716,0.58603895,0.039679527,0.2039767,0.116700046,0.23337631,0.19986804,0.47188422,0.44928002,0.049183857
46,0,0.8337087,0.6883793,0.7593948,0.37012368,0.47860545,0.45108613,0.4615699,0.6311794,0.555261,0.73533225
47,1,0.92323077,0.2342197,0.9030054,0.3379063,0.30379134,0.27030158,0.20743419,0.5607504,0.56474656,0.8932785
48,0,0.7762283,0.8563644,0.37992883,0.5295277,0.63068104,0.49661693,0.8789085,0.66408134,0.69312185,0.8355227
49,0,0.81018424,0.4113608,0.18796283,0.48327038,0.47243893,0.25520504,0.14577058,0.5903747,0.51457965,0.10213314
50,1,0.92764974,0.94690335,0.9964227,0.6502253,0.9999915,0.77513874,0.9617795,0.9433515,0.99382216,0.99820304
51,0,0.6476657,0.32898104,0.12902352,0.09510266,0.09560034,0.2011718,0.22333539,0.44207436,0.26789594,0.029880518
52,1,0.71750975,0.6758778,0.879871,0.44551623,0.6201992,0.48647884,0.70883095,0.6464716,0.71027863,0.9326956
53,1,0.9034585,0.7875714,0.9898215,0.7086412,0.999913,0.6994059,0.9142907,0.91553885,0.98144746,0.99426645
54,1,0.7256148,0.28384838,0.41305962,0.42833957,0.6986655,0.34625223,0.33313364,0.43887007,0.7625703,0.6550237
55,0,0.13474166,0.3735925,0.007827316,0.24501559,0.02957056,0.28888947,0.20879516,0.3151786,0.22196966,0.22897267
56,0,0.7503412,0.6649196,0.84964865,0.5999126,0.8021479,0.5574875,0.53057027,0.36278778,0.4790569,0.95374507
57,0,0.33261353,0.32393265,0.21687615,0.5109324,0.08780351,0.49232292,0.69192326,0.29097134,0.6288874,0.9642167
58,0,0.70973146,0.74085647,0.1755439,0.17030618,0.31474787,0.30567133,0.3581963,0.66967744,0.6965804,0.11957626
59,0,0.15814765,0.099386394,0.07865674,0.5340273,0.2851737,0.41843665,0.25388446,0.2982951,0.5216514,0.52875274
60,1,0.72060597,0.28670797,0.8548413,0.5327034,0.79716575,0.28040487,0.54944646,0.6714724,0.7907193,0.8713482
61,1,0.9048811,0.5857501,0.9351793,0.64562744,0.9240963,0.33155018,0.800424,0.72988844,0.9301124,0.785582
62,1,0.45843,0.42011124,0.4644738,0.3709184,0.18692634,0.39924222,0.6213308,0.64208364,0.49991563,0.5828991
63,0,0.7360696,0.5824424,0.053784333,0.331344,0.39796212,0.29318586,0.5679131,0.5539767,0.49157155,0.13937503
64,1,0.20063335,0.69004625,0.06340715,0.31808737,0.6574961,0.2498264,0.60867506,0.20519316,0.5675763,0.85631037
65,0,0.84256303,0.23927382,0.061452813,0.11567177,0.39122757,0.1860563,0.17671101,0.6809116,0.43912488,0.16332044
66,1,0.6147026,0.22304495,0.6936162,0.23663461,0.8870579,0.23199815,0.13055292,0.44924736,0.72382826,0.1131772
67,1,0.3753012,0.32573605,0.018092515,0.3563664,0.060274873,0.21373513,0.21531083,0.46623093,0.39510006,0.11569248
68,0,0.5699776,0.25353673,0.014359349,0.23793085,0.050576266,0.26910165,0.21595368,0.52592987,0.24819991,0.1251529
69,0,0.95321345,0.9511971,0.6466542,0.6837452,0.9975549,0.4989152,0.8959015,0.807602,0.69407374,0.85766006
70,0,0.26864877,0.41666538,0.08238935,0.5214623,0.0033229277,0.3680903,0.6415953,0.42964244,0.5897057,0.87116003
71,0,0.46590775,0.47732413,0.3365318,0.5359263,0.1268087,0.49452734,0.43930787,0.30231452,0.5624494,0.5974033
72,1,0.8521605,0.65826344,0.5121322,0.6812829,0.30133462,0.44337776,0.65018344,0.72720647,0.9332984,0.20346943
73,0,0.673867,0.7385328,0.2796253,0.38445753,0.34890196,0.43552834,0.7190182,0.54964453,0.49136364,0.8236116
74,0,0.5981263,0.4759978,0.03412966,0.3097994,0.42116633,0.2799589,0.2610609,0.40445346,0.49004346,0.10806151
75,0,0.75070846,0.6580069,0.91077185,0.39150763,0.7681749,0.3248831,0.79894507,0.55100274,0.84840095,0.3813391
76,1,0.72383213,0.56027865,0.5776618,0.54800487,0.8861238,0.34289682,0.9048679,0.73129517,0.9427603,0.99863994
77,1,0.86165154,0.76249546,0.49253374,0.52845955,0.9821113,0.27385432,0.7549249,0.8495356,0.7601025,0.870233
78,0,0.34333503,0.20167816,0.09647493,0.41199917,0.02446631,0.2565891,0.13306469,0.4494405,0.4972824,0.38772994
79,0,0.23280188,0.32667616,0.018457985,0.3647349,0.13746905,0.24906743,0.22052039,0.2685559,0.57975656,0.3646397
80,1,0.62037003,0.3009445,0.21138483,0.48457763,0.95675874,0.2878059,0.57148933,0.7162039,0.7393112,0.3184175
81,0,0.7267531,0.7681477,0.6444552,0.63940465,0.89263016,0.38605776,0.8386299,0.44501942,0.87905973,0.55597454
82,0,0.12952955,0.061957404,0.00043583545,0.025218748,0.011862896,0.070912085,0.035965227,0.34043872,0.090428494,0.0009911333
83,0,0.7095916,0.16078077,0.011776767,0.074017,0.088351265,0.16108699,0.116370484,0.35538214,0.21491791,0.12725389
84,1,0.98085535,0.91981936,0.99844635,0.7101619,0.95344955,0.5933075,0.8547761,0.737651,0.9470073,0.85084546
85,1,0.6921826,0.8276,0.88496155,0.6233644,0.9986285,0.693615,0.8683285,0.88573056,0.9834894,0.85775924
86,1,0.88810456,0.47765195,0.98741436,0.50213397,0.9704892,0.6866148,0.58367884,0.88062483,0.69932055,0.99293965
87,1,0.79776144,0.61684126,0.28549173,0.3215899,0.53189045,0.26336703,0.33971113,0.6698773,0.64719546,0.33852145
88,0,0.19936389,0.33495995,0.015528844,0.37793213,0.1780364,0.31391686,0.24800652,0.35387385,0.16950193,0.57918704
89,1,0.8150009,0.52998805,0.578179,0.47622195,0.96143264,0.5399045,0.57912624,0.81151223,0.87015104,0.823684
90,1,0.5134342,0.47450426,0.20911445,0.545099,0.09739593,0.32480377,0.36683545,0.4694382,0.61413735,0.077671096
91,1,0.667077,0.5566139,0.5413325,0.2939995,0.71240556,0.24623455,0.6277786,0.57799304,0.76890403,0.47196355
92,1,0.7386034,0.33355206,0.04686022,0.18904737,0.1786462,0.34512788,0.2021102,0.6192672,0.35571525,0.33320013
93,1,0.5313605,0.48053735,0.5256212,0.60593015,0.26069385,0.43337303,0.7119003,0.70103335,0.7965761,0.78475857
94,0,0.4009968,0.5008456,0.26527768,0.44470125,0.8319944,0.56309557,0.40337154,0.27542862,0.6337361,0.8949425
95,0,0.7906379,0.4847293,0.012998143,0.24828991,0.20935676,0.22125791,0.23436204,0.5088564,0.1933414,0.025134658
96,1,0.98118454,0.9686424,0.8896625,0.706694,0.99767435,0.74599916,0.8644345,0.8598579,0.94979346,0.9256444
97,1,0.8239842,0.5473379,0.9345057,0.5245492,0.64341706,0.4627692,0.50133514,0.78374994,0.8856044,0.20186172
98,1,0.840132,0.47851568,0.5761348,0.26837534,0.75627804,0.28290918,0.44832963,0.70555115,0.7729026,0.6090174
99,1,0.75049794,0.47949415,0.7329179,0.5794196,0.9954413,0.33853647,0.88635194,0.72568417,0.9450317,0.8681434
100,0,0.8919717,0.66083014,0.41045222,0.52533853,0.9465027,0.31363186,0.70719117,0.63808787,0.7751996,0.52684975
101,0,0.8339079,0.7998817,0.61568767,0.5776512,0.69311196,0.4571886,0.7081129,0.556046,0.55919015,0.6954514
102,1,0.7594447,0.46781185,0.92294896,0.4767015,0.7278514,0.5232284,0.67011964,0.6101364,0.7450546,0.9110383
103,0,0.3325281,0.19465944,0.026444882,0.20165154,0.0037955977,0.18907228,0.088914596,0.38518,0.18513125,0.037882734
104,1,0.90275955,0.74662274,0.9955001,0.6719254,0.9982943,0.65575385,0.88419867,0.88854915,0.96249044,0.90568817
105,1,0.67305326,0.32837087,0.17302077,0.28635725,0.45415944,0.46542668,0.28960922,0.8323511,0.55656207,0.54051346
106,1,0.9663588,0.830918,0.05270952,0.41573665,0.98793846,0.34664783,0.7013953,0.84797114,0.6967648,0.50396866
107,1,0.8365526,0.56532776,0.96997094,0.5331329,0.38555208,0.5149031,0.64463973,0.39951152,0.7987538,0.98483574
108,1,0.6345272,0.5537573,0.69902605,0.54933566,0.98270935,0.17342427,0.5432296,0.44927344,0.9605042,0.84375453
109,0,0.8220532,0.7039063,0.48324314,0.37677038,0.7302696,0.34000924,0.39650685,0.679385,0.6017565,0.16390748
110,1,0.56949437,0.3051327,0.26519075,0.42720655,0.9911723,0.19779105,0.4446745,0.5815501,0.951896,0.19556019
111,1,0.91499054,0.3858729,0.93509775,0.6890285,0.99050355,0.3965259,0.4019348,0.8813837,0.81427675,0.9929597
112,1,0.8549838,0.75588304,0.9873505,0.44566256,0.99943864,0.26898104,0.6597129,0.5977999,0.955418,0.8672315
113,0,0.47515792,0.41697815,0.4705966,0.48828307,0.22236261,0.35131484,0.64920247,0.44979754,0.6761683,0.7015439
114,0,0.20494747,0.06876497,0.16555677,0.22540613,0.01605134,0.17474155,0.21118471,0.37654418,0.35623622,0.43036643
